data_name,order,lr,kl_weight,empirical_bw
DD,BFS,0.0095004171934435,0.000880659979333,False
DD,C-M,0.0017965051394993,1.1376574477745138e-05,True
ENZYMES,BFS,0.0052970861374238,0.0003731247155434,False
ENZYMES,C-M,0.0098722521799499,0.3371191839901083,True
PROTEINS,BFS,0.0048854514867802,6.473191942286495e-05,False
PROTEINS,C-M,0.0038742792532556,0.4097259435417371,True
SBM,BFS,0.0084593743887284,2.7696417095161385e-05,False
SBM,C-M,0.0099590490745193,3.397027869623253e-05,True
community2,BFS,0.0053156552915903,0.0004294142108374,False
community2,C-M,0.0063346990013333,3.1631833805136016e-05,True
grid2d,BFS,0.0084609807269691,0.0036232464167298,False
grid2d,C-M,0.0099563627919907,0.3032736797981009,True
peptides,BFS,0.0093228114146705,3.880266116575e-05,False
peptides,C-M,0.0033067367938947,0.1471033402202709,True
planar,BFS,0.007985527669737,6.031902123287191e-05,False
planar,C-M,0.0095554112361147,1.1669048069802312e-05,True
zinc250k,BFS,0.0097943488877889,0.073846017808036,False
zinc250k,C-M,0.0096160392084354,0.3862833442278197,True
